Name,Artist,Album,Spotify ID,Added On
TEST DRIVE,Joji,BALLADS 1,1DMEzmAoQIikcL52psptQL,2022-05-08T20:09:55Z
Softcore,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,2K7xn816oNHJZ0aVqdQsha,2022-05-08T20:09:23Z
High Enough - Slowed,K.Flay,High Enough (Slowed),5JXOF1rt31rT07luk5wFE6,2022-05-08T20:09:16Z
You Get Me So High,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,7zwn1eykZtZ5LODrf7c0tS,2022-05-08T20:09:08Z
"Yeah, I Said It",Rihanna,ANTI (Deluxe),7eDYNlBwRMeFOZHOZ95dZ1,2022-05-08T20:08:47Z
Somebody I Fucked Once,Zolita,Evil Angel (Deluxe),1TLgTsRiX4P55KUOOGjYHu,2022-05-08T10:07:08Z
You Don't Own Me,Lesley Gore,Lesley Gore Sings Of Mixed-Up Hearts,7ngRS53kqxLcEt9Pythc5d,2022-05-08T08:15:32Z
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),0hquQWY3xvYqN4qtiquniF,2022-05-06T11:45:39Z
Memories (with WILLOW),YUNGBLUD,Memories (with WILLOW),1UhuXpOqTP6F7cF0L56HZl,2022-05-06T11:45:37Z
We'll Never Have Sex,Leith Ross,We'll Never Have Sex,4zXuYQNDmw3dlauyc8q3Kd,2022-05-05T14:51:32Z
Bad Kid,BAUM,Bad Kid,3LLOYUbthmM82hl6XYwZYp,2022-05-05T10:15:22Z
just like heaven,The Lumineers,just like heaven,11xjDJ7i9BLd1AYMedwJQK,2022-05-04T06:52:44Z
Skeletons (Lexi Needed a Break),Labrinth,EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES),2E8PpcxzMRAv2YdqRxg0jR,2022-05-04T06:52:24Z
Bad Life,Sigrid,Bad Life,1eEK8eQETi8q8bU0lxRMlq,2022-05-04T06:52:17Z
Abuse Me (ft. L'exquisite Douleur),POORSTACY,Abuse Me (ft. L'exquisite Douleur),7kgppSWLikBRTcyuCs1hfC,2022-05-04T06:52:03Z
You Ruined Nirvana,Mckenna Grace,You Ruined Nirvana,6HdZ8l3sHVYgrcAAXTugKK,2022-05-03T21:00:36Z
"It's Time (feat. Sia, Diplo, and Labrinth)",Sia,"LABRINTH, SIA & DIPLO PRESENT... LSD",3j4lctlzJqDLNZjTLmc9CV,2022-05-01T21:22:26Z
fue mejor (feat. SZA),Kali Uchis,fue mejor (feat. SZA),1CrPPsibP3uTc3DSI5vQC5,2022-05-01T14:18:06Z
Luci,ZAND,Luci,6kahKPwoCEY9hHeiGBfApr,2022-04-30T10:53:16Z
Slut Money,ZAND,Slut Money,3uAuxthZFYUSIptVKZvQqU,2022-04-30T10:48:31Z
I Spit On Your Grave,ZAND,I Spit On Your Grave,1Nlr6AqQHfh79yFabmu2EF,2022-04-30T10:47:25Z
LUCID DREAMS,Royal & the Serpent,LUCID DREAMS,1H0XfvZWmlvc0QICpv4pwE,2022-04-30T10:13:56Z
Honey Dew,LION BABE,Cosmic Wind,5IQzzrwxQ3tFNOf1Ixnwft,2022-04-30T08:06:39Z
Uprising - Does It Offend You Yeah Mix,Muse,Uprising,2wxIlhdQempN5uDsaJS0c9,2022-04-28T10:21:08Z
One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,2022-04-28T10:18:40Z
When You're Gone,Avril Lavigne,The Best Damn Thing (Expanded Edition),54JKnDB3CzVu8wNAOM27BI,2022-04-28T10:12:45Z
My Happy Ending,Avril Lavigne,Under My Skin,6sqNctd7MlJoKDOxPVCAvU,2022-04-28T10:12:45Z
I'm with You,Avril Lavigne,Let Go,1jlG3KJ3gdYmhfuySFfpO1,2022-04-28T10:12:43Z
Bite Me,Avril Lavigne,Love Sux,6dfwRetlyLPBoQzdufbOWj,2022-04-28T10:12:43Z
Love It When You Hate Me (feat. blackbear),Avril Lavigne,Love Sux,6m0Dk7Cm7rWQLzCjeYIiIt,2022-04-28T10:12:41Z
Here's to Never Growing Up,Avril Lavigne,Avril Lavigne (Expanded Edition),0qwcGscxUHGZTgq0zcaqk1,2022-04-28T10:12:39Z
What the Hell,Avril Lavigne,Goodbye Lullaby (Expanded Edition),2z4U9d5OAA4YLNXoCgioxo,2022-04-28T10:12:37Z
Girlfriend,Avril Lavigne,The Best Damn Thing (Expanded Edition),45hOioMDJktr86iKDHC8gr,2022-04-28T10:12:36Z
Complicated,Avril Lavigne,Let Go,5xEM5hIgJ1jjgcEBfpkt2F,2022-04-28T10:12:35Z
Let Me Down,Oliver Tree,Ugly is Beautiful,0jk6J6B9ivegJc7dTg10Mp,2022-04-28T09:04:57Z
Problem,Ariana Grande,My Everything (Deluxe),7vS3Y0IKjde7Xg85LWIEdP,2022-04-28T08:57:28Z
I Love You But I Love Me More (feat. Beach Bunny),MARINA,I Love You But I Love Me More (feat. Beach Bunny),6CpeA8nhcJO9zdRsrJwLE8,2022-04-27T22:44:42Z
Please Do Not Lean (feat. BADBADNOTGOOD),Daniel Caesar,Please Do Not Lean,5uXO1sjZ7VbNKexKaFRna3,2022-04-26T18:05:53Z
Exhumed,Zola Jesus,Okovi,0HN8gippbAREPkJyJNGXQo,2022-04-26T17:59:52Z
killing boys,Halsey,Manic: Revenge EP,0iPDGGzC5vWQA7hMhqYieg,2022-04-25T14:06:59Z
Nightmare,Halsey,Love And Power EP: Power,2ZU4BZgACy0ddJXWbl9Vlj,2022-04-25T13:50:32Z
You Really Got Me,The Kinks,Kinks (Super Deluxe Edition),1oG2vWELiGjIqxwqGcyqwF,2022-04-25T08:33:10Z
Barracuda,Heart,Little Queen,4KfSdst7rW39C0sfhArdrz,2022-04-25T08:32:56Z
Zombie,The Cranberries,No Need To Argue,2IZZqH4K02UIYg5EohpNHF,2022-04-25T08:32:20Z
Mountain Song,Jane's Addiction,Nothing's Shocking,5fKZJHzJ9d3MADArbm9muW,2022-04-25T08:31:53Z
20 Dollar Nose Bleed,Fall Out Boy,Folie à Deux,63qgyQv5K7EgD4DiwoqeQ0,2022-04-24T22:59:47Z
Bang Bang Bang Bang - Remastered 2021,Sohodolls,Bang Bang Bang Bang 2021,4Dku5HwdwweHyc9LrOL4AB,2022-04-22T18:02:58Z
PRIDE.,Kendrick Lamar,DAMN.,6IZvVAP7VPPnsGX6bvgkqg,2022-04-22T17:48:33Z
Cigarette Daydreams,Cage The Elephant,Melophobia,6EThJr4Dq1Y93JspecGU2F,2022-04-22T17:45:04Z
Good Old-Fashioned Lover Boy - Live On BBC Top Of The Pops / July 1977,Queen,A Day At The Races (Deluxe Edition 2011 Remaster),1ilTP5XpDd7VvsJXDbNS9c,2022-04-22T17:44:32Z
Pierre,Ryn Weaver,The Fool,2vpVR1L7Qfkd7D6qFNuorq,2022-04-22T17:36:18Z
Mind Over Matter (Reprise),Young the Giant,Mirrorball / Mind Over Matter (Reprise),77KnJc8o5G1eKVwX5ywMeZ,2022-04-22T17:13:13Z
Team,Lorde,Pure Heroine,3G6hD9B2ZHOsgf4WfNu7X1,2022-04-22T17:02:08Z
redesign,awfultune,redesign,6L1V0LvpXBJ7QptKuLUj3v,2022-04-22T15:16:10Z
Nobody,Mitski,Be the Cowboy,6bTn1ovliI0OkjUNkiMBJq,2022-04-22T12:51:36Z
Always Forever,Cults,Static,2enPRFda84VE2wtI8c86Uf,2022-04-22T11:02:24Z
"Once More, With Feeling!",Xana,Tantrums,2pjEyOsF9Tmq2GD6hWNULs,2022-04-21T21:42:47Z
12 missed calls,Xana,Tantrums,0Dwf2zAScGZ3uHYTqIjjne,2022-04-21T21:41:32Z
i did this all for you!,Xana,Tantrums,7oPGbHoo2OFs6ilYs7YWJG,2022-04-21T21:36:28Z
Human Leech,WILLOW,The 1st,3EWpK9wsTr6vMrEJAgR2U1,2022-04-21T17:46:08Z
Where You Are (feat. WILLOW),PinkPantheress,Where you are (feat. WILLOW),4icnlpI5IbZcRO9mpixVVW,2022-04-21T16:14:39Z
London Boy,Taylor Swift,Lover,1LLXZFeAHK9R4xUramtUKw,2022-04-21T10:07:22Z
